CNES,CO_INE,CO_CBO,MICROAREA
0022187,,411010,
3862836,,422105,
0022187,,411010,
0022322,,224140,
0022381,0000153931,515105,
0022462,0000154059,515105,
0022462,0000154067,515105,
9069569,,411010,
0024538,0001710583,515105,
0026344,,411010,
0001368,,515140,
0001368,,411010,
0001368,,515110,
0001511,0000153311,515105,
0022187,0000153559,515105,
0022268,,131210,
0022403,,515105,
0022403,0000153966,515105,
0022403,0000153966,515105,
0022462,0000154067,515105,
0024538,0002402572,515105,
0026328,,515105,
0001511,0000153338,515105,
0001546,,411010,
0001996,,322205,
0001996,,516220,
0001996,,516220,
0001996,,516220,
0001996,,516220,
0002054,,516220,
0002062,,515140,
0022268,0000153664,515105,
0022403,0002399857,515105,
0022403,0002399857,515105,
0022411,,411010,
0026204,,411010,
0001236,0000153117,515105,
0001392,,322405,
0022276,,515140,
0022330,,411010,
0022411,,515105,
0022470,0000154083,515105,
0001244,,515140,
0001244,,131210,
0001244,,422105,
0001996,,411010,
0002062,0000153400,515105,
0020516,,782320,
0022330,0000153869,515105,
0022330,0000153869,515140,
2711974,,322405,
0026212,0000154202,515105,
0001244,0000153133,515105,
0001414,,422105,
0020516,,515220,
0022209,0000153575,515105,
0022209,0000153575,515105,
0022330,0000153869,515105,
0026212,0002429527,515105,
0022292,0000153753,515105,
0022454,0000154016,515105,
0026344,,131210,
0001252,0000153176,515105,
0001252,0000153184,515105,
0001252,0000153184,515105,
0001813,,411010,
0002011,0002172313,515140,
0002097,0000153435,515105,
0020567,,411010,
0000655,,223505,
0022365,0000153893,515105,
0024503,0000154148,515105,
0026301,0000154229,515105,
0026301,0000154237,515105,
0001252,0000153184,515105,
0001252,0001555553,515105,
0001503,,515105,
0001503,,131210,
0001546,,325115,
0001813,0000153354,515140,
0001813,0000153354,515140,
0002011,0002172313,515105,
0022233,,422105,
0022454,0000154032,515105,
0024503,0000154148,515105,
0001317,,411010,
0001503,0000153265,515140,
0001503,0000153265,515140,
0001813,0001471090,515105,
0001813,0001471090,515105,
0001813,0001471090,515105,
0001813,0001471090,515140,
0002046,,411010,
0002046,,322205,
0020516,,411010,
0022233,,131210,
0022233,,411010,
0026328,,411010,
0022233,0000152757,515105,
0022365,0000153907,515140,
0001317,,515140,
2427427,,322205,
0001317,,422105,
0001317,,515140,
0001813,0001471090,515105,
0002054,,422105,
0002054,,516220,
0002127,0000153451,515105,
0002127,0000153451,515105,
0020567,0000153524,515105,
0020567,0000153524,515105,
0020567,0000153524,515140,
0022306,0000153796,515105,
0001503,0000153273,515105,
0001503,0000153273,515105,
0001503,0000153273,515105,
0001511,,422105,
0001953,,411010,
0022233,0000153648,515105,
0024538,,411010,
0026336,,515140,
0026336,,411010,
0026336,,131210,
0001317,0000153206,515140,
0001317,0000153214,515105,
0001511,0000153281,515105,
0028096,,411010,
0028096,0000154490,515105,
0029068,0000154652,515105,
0044598,,411010,
2711974,,322230,
2712075,,324205,
2712075,,324205,
2712075,,411010,
2711613,,515110,
2711974,,411005,
2711923,,411010,
2711974,,325115,
2711974,,411010,
2711974,,322230,
2711974,,422105,
2752824,,422105,
2711613,,411010,
2711974,,411010,
2711974,,422105,
2712075,,411010,
2712075,,324205,
2711613,,411010,
2712075,,411010,
2752824,0000154881,515105,
0000655,,322205,
2752824,0000154881,515105,
2802783,,422105,
2711613,,411010,
2711974,,324205,
2711974,,411005,
2711974,,411005,
2711974,,411010,
2711923,,411010,
2711974,,324205,
2711974,,411005,
2711974,,515215,
2711923,,411010,
2711974,,325110,
2711613,,324205,
2711974,,322205,
2711974,,325115,
2802783,,322205,
2712075,,411010,
2712075,,324205,
2712075,,515215,
2711613,,411010,
2711613,,324205,
2711974,,422105,
2711974,,322405,
2711974,,411010,
2712075,,515215,
0022349,,422105,
0001414,0000153249,515105,
0001813,,422105,
0001996,,516220,
0001996,,516220,
0001996,,322205,
0000868,,322205,
0001996,,516220,
0002070,0000153427,515140,
0022292,,515140,
0026301,0000154229,515105,
0001813,,515105,
0002070,0002400650,515105,
0020516,,422105,
0022292,0000153753,515105,
0022292,0000153753,515105,
0134252,,411010,
0407070,,411010,
0026379,0000154369,515105,
0265500,,422105,
0028096,0000154512,515140,
0028096,0000154512,515105,
0029106,0000154660,515105,
